"date_time_utc","Latitude","Longitude","Patm_mbar","Temperature_raw_C","Temperature_adj_C","CTDSAL_PSS78","Type","xCO2_dry_ppm","Std_Offset_ppm","xCO2_EQU_corr_ppm","xCO2_ATM_interp_ppm","xCO2_ATM_ppm","fCO2_water_microatm","fCO2_ATM_interp_microatm","dfCO2_microatm","U_10_MSY_m_s","Sc_35ppt","k_cm_hr_35ppt","K_mol_L_atm","F_mol_m2_s","F_mmol_m2_d","F_micromol_m2_s"
2022-10-12 15:43:25,28.912971,-89.439512,1016.88415212885,26.0901631376851,26.0901631376851,27.5209143444871,"EQU",513.8,NA,477.524,344.4952,NA,447.15,333.36,113.79,5.35813788975308,496.052420364878,1.55129998601644,0.0292168886103494,1.43262112233276e-08,1.2377846496955,0.0143262112233276
2022-10-12 15:45:55,28.913358,-89.439774,1016.81937459287,26.0928153592979,26.0928153592979,27.800548189797,"EQU",515.53,NA,479.258,344.4469,NA,449.33,333.29,116.04,5.44859604208431,495.988796376147,1.57759080587839,0.0291789074933285,1.48377692576261e-08,1.28198326385889,0.0148377692576261
2022-10-12 15:48:25,28.914001,-89.44033,1016.75459705688,26.0954675809106,26.0954675809106,28.080182035107,"EQU",510.77,NA,474.528,344.3983,NA,445.79,333.22,112.57,5.53905419441554,495.925180770543,1.60388499140015,0.0291409777380754,1.46149558545023e-08,1.262732185829,0.0146149558545023
2022-10-12 15:50:55,28.914411,-89.440421,1016.6898195209,26.0981198025233,26.0981198025233,28.3598158804169,"EQU",506.89,NA,470.674,344.3497,NA,443.25,333.15,110.1,5.62951234674677,495.861573546559,1.63018254288825,0.029103099272826,1.45097622724261e-08,1.25364346033761,0.0145097622724261
2022-10-12 15:53:25,28.912486,-89.438718,1016.62504198491,26.100772024136,26.100772024136,28.6394497257268,"EQU",506.82,NA,470.615,344.3015,NA,441.69,333.09,108.61,5.66560423580821,495.797974702689,1.64073918086005,0.0290652720259185,1.43873647503487e-08,1.24306831443013,0.0143873647503487
2022-10-12 15:55:55,28.909849,-89.4373,1016.59483384684,26.1034242457488,26.1034242457488,28.9190835710368,"EQU-DRAIN",505.27,NA,469.082,344.2529,NA,440.57,333.03,107.54,5.42986480852077,495.734384237428,1.57257071808542,0.0290274959257942,1.36360093018643e-08,1.17815120368107,0.0136360093018643
2022-10-12 15:58:46,28.904458,-89.436751,1016.62846685662,26.1064477783873,26.1064477783873,29.2378661546901,"EQU",507.38,NA,471.197,344.1976,NA,440.6,332.99,107.62,5.16112186141309,495.661901325343,1.49484799584566,0.0289844934692743,1.29524891015278e-08,1.119095058372,0.0129524891015278
2022-10-12 16:01:16,28.904458,-89.436751,1016.65796949677,26.1091,26.1091,29.5175,"EQU",593.44,NA,556.947,344.1493,NA,519.76,332.95,186.81,4.92538243412564,495.598328785263,1.42666080467667,0.0289468265833206,2.1429858766407e-08,1.85153979741756,0.021429858766407
2022-10-12 16:03:47,28.903203,-89.437,1016.68766882119,26.0651178547635,26.0651178547635,28.9715862091939,"EQU",786.08,NA,748.893,344.1005,NA,707.41,332.94,374.47,4.68807141065629,496.653643826552,1.3564790620797,0.0290489200700576,4.09880838629623e-08,3.54137044575994,0.0409880838629623
2022-10-12 16:06:17,28.899731,-89.441365,1016.71717146134,26.021426982012,26.021426982012,28.4292877415057,"EQU",841.06,NA,803.695,344.0519,NA,758.82,332.93,425.9,4.45233198336885,497.704256824328,1.28690814977718,0.029150780102661,4.43815915155291e-08,3.83456950694172,0.0443815915155291
