#
#
# US Geological Survey, Water Resources Data
# retrieved: 2023-06-11 20:48:46 EDT      (sdww02)
#
# This file contains USGS Surface-Water Daily Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd  agency code
# site_no    USGS site number
#
#
# Sites in this file include:
# USGS 07374525 Mississippi River at Belle Chasse, LA
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		61182	
#
# Data heading explanations.
# begin_yr_dt ... First complete water year of data of daily mean values for this day.
# end_yr_dt   ... Last complete water year of data of daily mean values for this day.
# max_va      ... Maximum of daily mean values for this day.
# min_va      ... Minimum of daily mean values for this day.
# mean_va     ... Mean of daily mean values for this day.
# p05_va      ... 05 percentile of daily mean values for this day.
# p10_va      ... 10 percentile of daily mean values for this day.
# p20_va      ... 20 percentile of daily mean values for this day.
# p25_va      ... 25 percentile of daily mean values for this day.
# p50_va      ... 50 percentile (median) of daily mean values for this day.
# p75_va      ... 75 percentile of daily mean values for this day.
# p80_va      ... 80 percentile of daily mean values for this day.
# p90_va      ... 90 percentile of daily mean values for this day.
# p95_va      ... 95 percentile of daily mean values for this day.
#
#
agency_cd	site_no	parameter_cd	ts_id	month_nu	day_nu	begin_yr	end_yr	count_nu	max_va_yr	max_va	min_va_yr	min_va	mean_va	p05_va	p10_va	p20_va	p25_va	p50_va	p75_va	p80_va	p90_va	p95_va
5s	15s	5s	11n	3n	3n	6n	6n	8n	5n	12s	5n	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s
USGS	07374525	00060	61182	1	29	2009	2023	15	2020	1130000	2011	278000	642000		330000	426000	435000	596000	761000	1020000	1110000	
USGS	07374525	00060	61182	1	30	2009	2023	15	2020	1130000	2011	280000	642000		334000	407000	407000	573000	819000	988000	1090000	
USGS	07374525	00060	61182	1	31	2009	2023	15	2020	1120000	2011	269000	630000		309000	391000	400000	579000	810000	970000	1070000	
USGS	07374525	00060	61182	2	1	2009	2023	15	2020	1120000	2011	266000	620000		306000	371000	381000	612000	770000	941000	1040000	
USGS	07374525	00060	61182	2	2	2009	2023	15	2020	1110000	2011	320000	633000		342000	383000	385000	639000	822000	932000	1060000	
USGS	07374525	00060	61182	2	3	2009	2023	14	2020	1100000	2011	289000	603000		310000	364000	377000	564000	766000	812000	1050000	
USGS	07374525	00060	61182	2	4	2009	2023	15	2020	1100000	2011	300000	637000		318000	381000	389000	683000	843000	966000	1080000	
USGS	07374525	00060	61182	2	5	2009	2023	15	2020	1090000	2011	303000	638000		325000	369000	395000	673000	945000	952000	1030000	
USGS	07374525	00060	61182	2	6	2009	2023	15	2020	1100000	2011	270000	632000		307000	367000	393000	637000	909000	962000	1020000	
USGS	07374525	00060	61182	2	7	2009	2023	15	2020	1080000	2015	312000	634000		314000	371000	381000	639000	890000	941000	1020000	
USGS	07374525	00060	61182	2	8	2009	2023	15	2020	1080000	2011	287000	639000		303000	387000	396000	639000	883000	921000	1070000	
USGS	07374525	00060	61182	2	9	2009	2023	15	2010	1050000	2011	298000	640000		313000	391000	394000	604000	895000	979000	1050000	
USGS	07374525	00060	61182	2	10	2009	2023	15	2010	1040000	2011	324000	636000		327000	395000	405000	606000	836000	956000	1030000	
USGS	07374525	00060	61182	2	11	2009	2023	15	2020	1030000	2011	315000	635000		315000	399000	418000	618000	852000	941000	1010000	
USGS	07374525	00060	61182	2	12	2009	2023	15	2010	1080000	2011	317000	645000		327000	412000	450000	629000	823000	939000	1030000	
USGS	07374525	00060	61182	2	13	2009	2023	15	2010	1040000	2015	318000	645000		322000	426000	440000	627000	808000	949000	1030000	
USGS	07374525	00060	61182	2	14	2009	2023	15	2020	1050000	2015	321000	639000		329000	443000	454000	620000	833000	923000	1000000	
USGS	07374525	00060	61182	2	15	2009	2022	14	2010	1120000	2015	329000	650000		334000	465000	468000	565000	836000	944000	1060000	
USGS	07374525	00060	61182	2	16	2009	2022	14	2010	1080000	2011	341000	659000		342000	465000	471000	555000	845000	946000	1070000	
USGS	07374525	00060	61182	2	17	2009	2022	14	2010	1070000	2011	342000	659000		355000	450000	459000	546000	878000	957000	1050000	
USGS	07374525	00060	61182	2	18	2009	2022	14	2020	1060000	2011	341000	651000		350000	442000	474000	559000	851000	988000	1030000	
USGS	07374525	00060	61182	2	19	2009	2022	13	2020	1090000	2011	337000	648000		337000	424000	485000	563000	870000	963000	1050000	
USGS	07374525	00060	61182	2	20	2009	2022	13	2020	1090000	2015	312000	634000		320000	419000	479000	569000	819000	961000	1050000	
USGS	07374525	00060	61182	2	21	2009	2022	13	2020	1120000	2015	321000	633000		327000	430000	478000	570000	790000	938000	1070000	
USGS	07374525	00060	61182	2	22	2009	2022	13	2020	1130000	2011	319000	637000		323000	421000	475000	561000	823000	991000	1080000	
USGS	07374525	00060	61182	2	23	2009	2022	14	2020	1120000	2011	302000	645000		323000	441000	494000	574000	801000	1000000	1070000	
