Type	error	PC Date	PC Time	equ temp	std val	CO2 mv	CO2 um/m	H2O mv	H2O mm/m	licor temp	licor press	equ press	H2O flow	licor flow	equ pump	vent flow	atm cond	equ cond	drip 1	drip 2	cond temp	dry box temp
STD1z	0	10/05/22	13:36:29	28.84	0.00	-50.33	-6.73	9.96	0.06	30.97	1019.20	-0.58	2.71	65.39	30.00	334.33	9.95	9.85	9.95	0.4220	23.69	23.12
STD3s	0	10/05/22	13:41:19	28.47	0.00	5031.40	1359.90	13.33	0.08	30.72	1019.20	-0.96	2.75	67.79	30.00	385.92	9.95	9.85	9.95	0.4210	23.69	22.75
STD1	0	10/05/22	13:46:05	28.17	0.00	-49.42	0.13	8.50	0.05	30.60	1019.30	-1.01	2.72	66.59	30.00	346.36	9.95	9.85	9.95	0.4210	23.75	23.12
STD1	0	10/05/22	13:47:32	28.19	0.00	-49.75	0.08	8.21	0.05	30.57	1019.30	-1.04	2.69	66.13	30.00	366.89	9.95	9.85	9.95	0.4210	23.75	23.19
STD1	0	10/05/22	13:48:58	28.19	0.00	-50.33	0.00	8.04	0.05	30.54	1019.30	-0.81	2.70	66.03	30.00	369.06	9.95	9.79	9.95	0.4210	23.75	23.19
STD2	0	10/05/22	13:53:45	27.96	608.37	3032.80	673.01	14.25	0.09	30.49	1019.60	-1.15	2.71	66.26	30.00	249.85	9.96	9.84	9.95	0.4210	23.81	23.19
STD2	0	10/05/22	13:55:12	27.89	608.37	3029.20	671.84	15.00	0.09	30.45	1019.50	-0.81	2.59	65.71	30.00	246.42	9.95	9.78	9.95	0.4210	23.81	23.37
STD2	0	10/05/22	13:56:39	27.90	608.37	3026.30	670.89	15.25	0.09	30.45	1019.50	-1.67	2.01	66.26	30.00	249.43	9.96	9.80	9.95	0.4200	23.81	23.44
STD3	0	10/05/22	14:01:26	27.68	1514.51	4992.80	1492.00	11.12	0.07	30.42	1019.60	-1.37	1.72	67.14	30.00	244.55	9.96	9.83	9.95	0.4210	23.94	23.37
STD3-DRAIN	0	10/05/22	14:02:53	27.77	1514.51	5020.70	1506.50	12.83	0.08	30.41	1019.50	-1.03	2.62	67.47	30.00	243.78	9.96	9.83	9.95	0.4200	23.94	23.31
STD3	0	10/05/22	14:04:41	27.93	1514.51	5014.50	1503.40	11.50	0.07	30.42	1019.50	-1.17	2.69	66.91	30.00	242.07	9.96	9.81	9.95	0.4200	24.00	23.37
ATM	0	10/05/22	14:09:28	27.98	NaN	2047.00	391.16	790.33	6.14	30.51	1019.50	-0.85	2.69	100.49	30.00	239.56	9.96	9.81	9.95	0.4210	24.12	23.62
SHUT DOWN	0	10/05/22	14:09:34
