Type	error	PC Date	PC Time	equ temp	std val	CO2 mv	CO2 um/m	H2O mv	H2O mm/m	licor temp	licor press	equ press	H2O flow	licor flow	equ pump	vent flow	atm cond	equ cond	drip 1	drip 2	cond temp	dry box temp
STD1z	0	10/05/22	02:35:43	22.92	0.00	-51.03	-0.19	12.67	0.08	30.33	1015.90	-1.14	0.05	66.13	30.00	207.82	9.96	9.95	9.93	0.4240	23.37	23.31
STD3s	0	10/05/22	02:40:34	22.93	0.00	4983.40	1548.90	18.25	0.11	30.36	1016.00	-1.08	0.05	67.00	30.00	269.80	9.96	9.95	9.92	0.4240	23.37	23.50
STD1	0	10/05/22	02:45:20	22.98	0.00	-49.95	0.15	11.17	0.07	30.72	1016.10	-0.94	0.05	66.26	30.00	250.37	9.96	9.95	9.89	0.4220	23.50	23.06
STD1	0	10/05/22	02:46:48	23.00	0.00	-50.60	0.06	11.46	0.07	30.92	1016.00	-0.92	0.05	66.31	30.00	286.44	9.96	9.95	9.89	0.4220	23.56	23.06
STD1	0	10/05/22	02:48:15	23.03	0.00	-50.92	0.01	11.29	0.07	31.12	1016.00	-0.93	0.05	66.26	30.00	277.07	9.96	9.95	9.89	0.4210	23.69	23.19
STD2	0	10/05/22	02:53:02	23.10	608.37	2991.20	672.72	19.79	0.12	31.72	1016.00	-0.90	0.05	68.73	30.00	230.35	9.96	9.95	9.79	0.4160	24.00	22.81
STD2	0	10/05/22	02:54:30	23.12	608.37	2994.00	673.93	20.08	0.12	31.86	1016.00	-0.94	0.05	67.56	30.00	231.36	9.96	9.95	9.89	0.4210	24.06	22.12
STD2	0	10/05/22	02:55:56	23.12	608.37	2988.40	672.42	19.71	0.12	32.03	1016.10	-0.95	0.05	67.28	30.00	234.45	9.96	9.95	9.93	0.4220	24.12	22.06
STD3	0	10/05/22	03:00:43	23.06	1514.51	4965.10	1511.70	14.75	0.09	31.78	1016.10	-1.08	0.05	66.86	30.00	306.70	9.96	9.95	9.95	0.4220	24.19	22.69
STD3-DRAIN	0	10/05/22	03:02:11	23.04	1514.51	4969.70	1513.60	16.21	0.10	31.69	1016.10	-1.08	0.05	66.40	30.00	319.70	9.96	9.95	9.95	0.4220	24.12	22.94
STD3	0	10/05/22	03:03:58	23.02	1514.51	4963.20	1509.60	14.50	0.09	31.54	1016.10	-1.12	0.05	66.63	30.00	324.62	9.96	9.95	9.94	0.4230	24.06	23.06
ATM	0	10/05/22	03:08:46	23.01	NaN	2008.00	388.31	867.00	6.94	31.43	1016.10	-0.94	0.05	95.47	30.00	325.41	9.96	9.95	9.92	0.4220	24.00	23.87
ATM	0	10/05/22	03:10:13	23.03	NaN	2017.60	390.74	878.08	7.05	31.40	1016.10	-0.91	0.05	95.93	30.00	324.24	9.96	9.95	9.91	0.4220	24.12	24.19
ATM	0	10/05/22	03:11:40	23.05	NaN	2009.80	388.88	885.41	7.13	31.50	1016.10	-0.83	0.05	96.04	30.00	333.34	9.96	9.95	9.87	0.4190	24.19	24.37
EQU	0	10/05/22	03:17:03	23.13	NaN	4660.70	1357.70	465.33	3.29	31.34	1016.10	-1.00	0.05	93.41	30.00	326.39	9.96	9.95	9.92	0.4200	24.31	23.44
EQU	0	10/05/22	03:18:33	23.12	NaN	4596.80	1325.60	452.62	3.18	31.21	1016.20	-1.08	0.05	95.18	30.00	308.35	9.96	9.95	9.94	0.4210	24.25	23.00
EQU	0	10/05/22	03:20:05	23.09	NaN	4573.80	1313.70	441.37	3.09	31.07	1016.20	-1.15	0.05	96.97	30.00	297.56	9.96	9.95	9.95	0.4220	24.19	22.75
EQU	0	10/05/22	03:21:36	23.04	NaN	4549.50	1301.40	436.04	3.05	30.95	1016.20	-1.23	0.05	97.37	30.00	297.79	9.96	9.95	9.95	0.4230	24.12	22.50
EQU	0	10/05/22	03:23:07	22.99	NaN	4528.30	1290.70	433.00	3.02	30.86	1016.30	-1.27	0.05	96.97	30.00	302.96	9.96	9.95	9.95	0.4230	24.06	22.25
EQU	0	10/05/22	03:24:38	22.94	NaN	4497.30	1275.60	433.20	3.02	30.76	1016.30	-1.25	0.05	96.44	30.00	307.20	9.96	9.95	9.95	0.4230	23.94	22.50
EQU	0	10/05/22	03:26:09	22.89	NaN	4475.60	1265.10	438.25	3.06	30.69	1016.30	-1.15	0.05	96.50	30.00	308.68	9.96	9.95	9.94	0.4220	23.94	22.87
EQU	0	10/05/22	03:27:40	22.85	NaN	4461.80	1259.00	445.66	3.12	30.77	1016.30	-1.03	0.05	96.21	30.00	310.62	9.96	9.95	9.94	0.4220	23.87	23.37
EQU	0	10/05/22	03:29:10	22.83	NaN	4432.90	1245.50	452.75	3.18	30.80	1016.30	-0.99	0.05	95.98	30.00	303.80	9.96	9.94	9.93	0.4230	23.94	23.69
EQU	0	10/05/22	03:30:41	22.83	NaN	4395.10	1228.00	457.50	3.22	30.81	1016.30	-0.96	0.05	95.93	30.00	311.25	9.96	9.94	9.92	0.4210	24.00	23.87
EQU-DRAIN	0	10/05/22	03:32:11	22.84	NaN	4372.00	1217.40	462.16	3.26	30.82	1016.30	-0.90	0.05	95.01	30.00	312.94	9.96	9.94	9.92	0.4210	24.00	24.12
EQU	0	10/05/22	03:34:02	22.88	NaN	4440.80	1249.80	464.00	3.27	30.93	1016.30	-0.87	0.05	95.12	30.00	319.67	9.96	9.94	9.90	0.4200	24.12	24.37
EQU	0	10/05/22	03:35:33	22.90	NaN	4335.90	1200.70	463.58	3.27	30.82	1016.30	-0.96	0.05	94.72	30.00	318.84	9.96	9.94	9.91	0.4210	24.12	23.94
EQU	0	10/05/22	03:37:03	22.92	NaN	4298.40	1183.30	454.20	3.19	30.75	1016.30	-1.08	0.05	94.61	30.00	322.00	9.96	9.94	9.94	0.4210	24.12	23.50
EQU	0	10/05/22	03:38:34	22.92	NaN	4274.90	1172.50	450.50	3.16	30.71	1016.30	-1.11	0.05	94.43	30.00	319.18	9.96	9.94	9.94	0.4200	24.12	23.25
EQU	0	10/05/22	03:40:05	22.90	NaN	4262.40	1166.80	447.70	3.14	30.67	1016.30	-1.14	0.05	94.72	30.00	310.80	9.96	9.94	9.95	0.4220	24.06	23.19
EQU	0	10/05/22	03:41:36	22.89	NaN	4233.80	1153.50	445.62	3.12	30.59	1016.30	-1.17	0.05	94.66	30.00	301.01	9.96	9.94	9.95	0.4220	24.00	22.81
EQU	0	10/05/22	03:43:08	22.86	NaN	4231.90	1152.40	443.75	3.11	30.54	1016.30	-1.17	0.05	94.95	30.00	298.61	9.96	9.94	9.95	0.4220	24.00	22.87
EQU	0	10/05/22	03:44:39	22.84	NaN	4223.10	1148.70	446.16	3.12	30.54	1016.30	-1.11	0.05	94.55	30.00	302.54	9.96	9.94	9.95	0.4220	24.00	23.06
EQU	0	10/05/22	03:46:10	22.81	NaN	4195.30	1136.00	446.58	3.13	30.47	1016.30	-1.17	0.05	94.72	30.00	302.26	9.96	9.94	9.94	0.4220	23.94	23.06
EQU	0	10/05/22	03:47:41	22.79	NaN	4158.90	1119.90	451.29	3.16	30.46	1016.30	-1.05	0.05	94.78	30.00	297.00	9.96	9.94	9.94	0.4220	23.94	23.37
EQU	0	10/05/22	03:49:12	22.78	NaN	4227.20	1150.40	456.50	3.21	30.53	1016.30	-0.99	0.05	93.98	30.00	296.43	9.96	9.94	9.93	0.4210	23.94	23.69
EQU	0	10/05/22	03:50:43	22.77	NaN	4125.90	1106.00	463.12	3.26	30.62	1016.40	-0.91	0.05	94.66	30.00	300.70	9.96	9.94	9.92	0.4210	24.00	24.00
EQU	0	10/05/22	03:52:14	22.79	NaN	4123.10	1104.90	467.33	3.30	30.65	1016.40	-0.90	0.05	94.15	30.00	300.26	9.96	9.94	9.91	0.4210	24.06	24.19
EQU	0	10/05/22	03:53:46	22.82	NaN	4125.60	1106.10	468.08	3.30	30.70	1016.40	-0.89	0.05	94.55	30.00	303.88	9.96	9.94	9.90	0.4200	24.12	24.31
EQU	0	10/05/22	03:55:17	22.84	NaN	4106.00	1097.80	470.95	3.33	30.73	1016.30	-0.87	0.05	94.26	30.00	305.09	9.96	9.94	9.90	0.4190	24.19	24.44
EQU	0	10/05/22	03:56:47	22.88	NaN	4109.40	1100.10	471.70	3.34	30.95	1016.30	-0.87	0.05	94.21	30.00	309.66	9.96	9.94	9.90	0.4190	24.25	23.31
EQU	0	10/05/22	03:58:18	22.92	NaN	4097.30	1095.60	469.16	3.32	31.17	1016.30	-0.91	0.05	94.04	30.00	317.20	9.96	9.94	9.93	0.4210	24.31	22.37
EQU	0	10/05/22	03:59:49	22.94	NaN	4040.10	1071.60	469.20	3.32	31.36	1016.40	-0.90	0.05	93.87	30.00	321.29	9.96	9.94	9.94	0.4210	24.31	22.87
EQU	0	10/05/22	04:01:20	22.96	NaN	3995.20	1053.00	469.33	3.32	31.53	1016.40	-0.91	0.05	93.58	30.00	321.80	9.96	9.94	9.94	0.4210	24.37	22.25
EQU-DRAIN	0	10/05/22	04:02:51	22.97	NaN	3967.70	1041.60	468.00	3.31	31.58	1016.30	-0.93	0.05	93.58	30.00	320.21	9.96	9.93	9.94	0.4210	24.44	22.37
EQU	0	10/05/22	04:04:44	22.98	NaN	3980.60	1048.00	462.62	3.27	31.89	1016.30	-0.94	0.05	93.87	30.00	324.82	9.96	9.94	9.95	0.4210	24.44	22.00
EQU	0	10/05/22	04:06:15	22.99	NaN	3954.60	1037.60	463.91	3.28	32.06	1016.40	-0.93	0.05	93.87	30.00	325.56	9.96	9.93	9.95	0.4210	24.44	21.81
EQU	0	10/05/22	04:07:46	22.98	NaN	3948.10	1035.50	463.62	3.28	32.25	1016.40	-0.90	0.05	94.04	30.00	334.96	9.96	9.93	9.94	0.4210	24.50	22.44
EQU	0	10/05/22	04:09:16	22.96	NaN	3957.60	1040.00	466.25	3.31	32.41	1016.40	-0.88	0.05	94.15	30.00	341.40	9.96	9.90	9.92	0.4200	24.56	23.19
EQU	0	10/05/22	04:10:47	22.97	NaN	3965.40	1044.00	471.08	3.35	32.60	1016.40	-0.87	0.05	91.44	30.00	344.00	9.96	9.90	9.93	0.4200	24.62	23.62
EQU	0	10/05/22	04:12:18	22.99	NaN	3951.30	1038.70	467.95	3.32	32.79	1016.40	-0.84	0.05	93.58	30.00	343.36	9.96	9.90	9.92	0.4210	24.69	23.50
EQU	0	10/05/22	04:13:49	23.01	NaN	3950.10	1038.80	469.00	3.34	32.97	1016.30	-0.81	0.05	93.75	30.00	344.55	9.96	9.89	9.90	0.4200	24.75	23.69
EQU	0	10/05/22	04:15:20	23.05	NaN	3923.40	1028.20	470.79	3.35	33.15	1016.30	-0.80	0.05	93.53	30.00	343.41	9.96	9.90	9.86	0.4180	24.81	23.75
EQU	0	10/05/22	04:16:51	23.08	NaN	3905.60	1021.50	471.20	3.36	33.36	1016.30	-0.79	0.05	93.53	30.00	342.51	9.96	9.89	9.83	0.4160	24.94	23.62
EQU	0	10/05/22	04:18:22	23.12	NaN	3979.80	1053.30	469.25	3.34	33.49	1016.30	-0.80	0.05	92.68	30.00	338.53	9.96	9.90	9.85	0.4160	25.00	22.94
EQU	0	10/05/22	04:19:54	23.17	NaN	3870.30	1007.70	474.41	3.39	33.65	1016.40	-0.83	0.05	90.78	30.00	334.99	9.96	9.91	9.90	0.4200	25.06	22.50
EQU	0	10/05/22	04:21:25	23.18	NaN	3853.20	1001.10	467.12	3.33	33.83	1016.40	-0.83	0.05	92.51	30.00	333.05	9.96	9.91	9.93	0.4200	25.12	22.44
EQU	0	10/05/22	04:22:56	23.19	NaN	3848.10	999.62	467.50	3.33	34.01	1016.40	-0.83	0.05	92.28	30.00	332.11	9.96	9.90	9.94	0.4210	25.12	22.44
EQU	0	10/05/22	04:24:27	23.20	NaN	3820.10	988.57	466.20	3.33	34.14	1016.30	-0.83	0.05	92.57	30.00	332.07	9.96	9.90	9.95	0.4210	25.19	22.19
EQU	0	10/05/22	04:25:58	23.21	NaN	3824.60	990.74	464.50	3.31	34.28	1016.40	-0.84	0.05	92.79	30.00	330.89	9.96	9.90	9.95	0.4210	25.19	22.00
EQU	0	10/05/22	04:27:29	23.22	NaN	3799.20	980.93	465.75	3.32	34.45	1016.40	-0.86	0.05	91.89	30.00	323.46	9.96	9.90	9.95	0.4210	25.19	22.19
EQU	0	10/05/22	04:29:01	23.20	NaN	3782.30	974.27	459.91	3.28	34.54	1016.30	-0.87	0.05	92.51	30.00	316.40	9.96	9.90	9.95	0.4210	25.19	22.50
EQU	0	10/05/22	04:30:40	23.21	NaN	3871.90	887.41	498.79	3.60	34.74	1016.40	-0.81	0.05	7.08	30.00	313.73	9.96	9.90	9.94	0.4200	25.19	23.44
EQU-DRAIN	0	10/05/22	04:32:11	23.23	NaN	3810.00	865.40	468.00	3.35	34.89	1016.40	-0.81	0.05	92.96	30.00	316.05	9.96	9.90	9.94	0.4200	25.25	23.62
EQU	0	10/05/22	04:34:01	23.27	NaN	3787.60	857.88	464.50	3.32	35.07	1016.40	-0.79	0.05	92.73	30.00	324.79	9.96	9.89	9.94	0.4190	25.31	23.94
EQU	0	10/05/22	04:35:31	23.30	NaN	3791.80	858.26	462.12	3.30	34.68	1016.40	-0.77	0.05	93.19	30.00	326.11	9.96	9.88	9.92	0.4190	25.37	24.62
EQU	0	10/05/22	04:37:01	23.34	NaN	3761.60	848.45	472.08	3.38	34.96	1016.30	-0.73	0.05	90.06	30.00	323.41	9.96	9.85	9.91	0.4190	25.44	24.25
EQU	0	10/05/22	04:38:30	23.38	NaN	3738.80	840.80	468.66	3.36	35.11	1016.30	-0.72	0.05	92.28	30.00	321.26	9.96	9.82	9.90	0.4180	25.50	24.44
EQU	0	10/05/22	04:40:00	23.41	NaN	3717.90	833.70	466.91	3.34	35.19	1016.30	-0.77	0.05	92.45	30.00	324.76	9.96	9.87	9.90	0.4180	25.56	24.37
EQU	0	10/05/22	04:41:31	23.44	NaN	3734.30	839.74	465.54	3.33	35.30	1016.30	-0.72	0.05	92.12	30.00	328.84	9.96	9.88	9.89	0.4190	25.62	24.50
EQU	0	10/05/22	04:43:01	23.46	NaN	3729.00	838.10	464.04	3.32	35.38	1016.30	-0.77	0.05	92.73	30.00	326.90	9.96	9.88	9.88	0.4180	25.69	24.44
EQU	0	10/05/22	04:44:31	23.48	NaN	3715.50	833.73	463.25	3.32	35.51	1016.30	-0.78	0.05	92.17	30.00	326.11	9.96	9.88	9.89	0.4180	25.75	23.19
EQU	0	10/05/22	04:46:01	23.49	NaN	3711.60	832.60	458.91	3.28	35.60	1016.30	-0.78	0.05	92.68	30.00	324.19	9.96	9.88	9.93	0.4200	25.75	22.62
EQU	0	10/05/22	04:47:30	23.48	NaN	3689.70	825.29	458.45	3.28	35.70	1016.30	-0.84	0.05	91.72	30.00	323.42	9.96	9.88	9.94	0.4210	25.75	22.37
ATM	0	10/05/22	04:52:17	23.45	NaN	2002.40	345.87	857.20	6.93	35.39	1016.40	-0.90	0.05	99.01	30.00	325.22	9.96	9.84	9.96	0.4200	25.69	22.87
ATM	0	10/05/22	04:53:44	23.44	NaN	2029.90	351.78	844.62	6.80	35.13	1016.40	-0.96	0.05	98.37	30.00	326.21	9.96	9.83	9.96	0.4210	25.69	23.31
ATM	0	10/05/22	04:55:11	23.43	NaN	2039.00	353.46	839.04	6.73	34.82	1016.40	-0.97	0.05	98.72	30.00	329.98	9.96	9.86	9.95	0.4210	25.56	23.50
