Type	error	PC Date	PC Time	equ temp	std val	CO2 mv	CO2 um/m	H2O mv	H2O mm/m	licor temp	licor press	equ press	H2O flow	licor flow	equ pump	vent flow	atm cond	equ cond	drip 1	drip 2	cond temp	dry box temp
EQU	0	12/05/22	00:02:09	27.74	NaN	1305.60	200.65	350.79	2.39	32.27	1017.60	-0.81	2.72	89.01	29.00	361.69	9.96	9.90	9.95	0.4170	26.25	24.50
EQU	0	12/05/22	00:03:39	27.73	NaN	1305.10	200.57	350.54	2.39	32.28	1017.60	-1.02	2.72	92.96	29.00	362.03	9.96	9.90	9.95	0.4180	26.25	24.37
EQU	0	12/05/22	00:05:09	27.73	NaN	1296.00	198.89	348.70	2.38	32.25	1017.70	-0.72	2.73	89.78	29.00	367.02	9.96	9.90	9.95	0.4170	26.19	24.25
EQU	0	12/05/22	00:06:40	27.68	NaN	1318.30	202.92	348.95	2.38	32.22	1017.70	-1.23	2.73	90.94	29.00	370.59	9.96	9.90	9.95	0.4180	26.12	24.31
EQU	0	12/05/22	00:08:11	27.68	NaN	1341.90	207.20	349.16	2.38	32.18	1017.60	-0.62	2.75	93.64	29.00	373.90	9.96	9.90	9.95	0.4180	26.12	24.25
EQU	0	12/05/22	00:09:41	27.67	NaN	1354.90	209.55	351.29	2.39	32.18	1017.80	-0.58	2.74	88.19	29.00	375.96	9.96	9.90	9.95	0.4170	26.06	24.12
EQU	0	12/05/22	00:11:12	27.66	NaN	1343.20	207.47	354.29	2.42	32.26	1017.80	-0.46	2.76	89.94	29.00	376.85	9.96	9.90	9.94	0.4180	26.12	24.69
EQU	0	12/05/22	00:12:42	27.58	NaN	1333.00	205.64	359.62	2.46	32.31	1017.80	-0.72	2.75	92.28	29.00	374.58	9.96	9.90	9.94	0.4180	26.06	24.94
EQU	0	12/05/22	00:14:13	27.56	NaN	1339.90	206.93	362.08	2.48	32.35	1017.80	-0.61	2.74	89.39	29.00	370.51	9.96	9.90	9.93	0.4180	26.12	25.31
EQU	0	12/05/22	00:15:43	27.54	NaN	1365.80	211.72	360.41	2.47	32.40	1017.80	-0.55	2.75	91.28	29.00	372.25	9.96	9.90	9.90	0.4150	26.19	25.62
EQU	0	12/05/22	00:17:14	27.56	NaN	1376.30	213.62	353.12	2.41	32.36	1017.80	-0.53	2.74	91.00	29.00	380.41	9.96	9.90	9.90	0.4150	26.19	25.06
EQU	0	12/05/22	00:18:44	27.55	NaN	1374.90	213.31	350.58	2.39	32.37	1018.00	-0.52	2.76	90.22	29.00	379.67	9.96	9.90	9.91	0.4160	26.25	24.87
EQU	0	12/05/22	00:20:15	27.52	NaN	1363.50	211.24	345.75	2.35	32.35	1017.80	-0.96	2.73	89.72	29.00	380.33	9.96	9.90	9.91	0.4160	26.25	24.87
EQU	0	12/05/22	00:21:45	27.52	NaN	1339.80	206.88	344.75	2.35	32.29	1017.70	-0.78	2.75	93.02	29.00	379.09	9.96	9.90	9.91	0.4160	26.25	24.75
