Type	error	PC Date	PC Time	equ temp	std val	CO2 mv	CO2 um/m	H2O mv	H2O mm/m	licor temp	licor press	equ press	H2O flow	licor flow	equ pump	vent flow	atm cond	equ cond	drip 1	drip 2	cond temp	dry box temp
STD1z	0	11/05/22	12:49:28	23.91	0.00	-44.20	-5.92	11.29	0.07	32.16	1021.10	-0.61	2.55	66.26	30.00	215.63	9.96	9.91	6.83	0.2930	25.56	25.87
STD3s	0	11/05/22	12:54:18	25.34	0.00	5030.70	1359.40	11.12	0.07	32.26	1021.00	-1.31	2.63	67.10	30.00	224.68	9.96	9.90	8.20	0.3490	25.75	25.25
STD1	0	11/05/22	12:59:05	25.59	0.00	-44.10	0.01	7.75	0.05	32.22	1021.10	-0.94	2.22	66.26	30.00	223.25	9.96	9.90	9.70	0.4100	25.75	24.69
STD1	0	11/05/22	13:00:31	25.75	0.00	-44.92	-0.10	7.12	0.04	32.21	1021.20	-0.72	2.90	66.17	30.00	226.13	9.96	9.90	9.78	0.4130	25.75	24.62
STD1	0	11/05/22	13:01:58	25.82	0.00	-45.33	-0.16	7.00	0.04	32.16	1021.20	-1.02	2.95	66.26	30.00	220.63	9.96	9.91	9.85	0.4160	25.75	24.50
STD2	0	11/05/22	13:06:45	25.74	608.37	3030.40	672.26	10.17	0.06	32.11	1021.30	-1.03	3.08	67.33	30.00	226.97	9.96	9.91	9.87	0.4170	25.69	24.44
STD2	0	11/05/22	13:08:13	25.74	608.37	3029.50	672.02	12.33	0.07	32.12	1021.30	-1.23	3.09	66.40	30.00	221.97	9.96	9.91	9.82	0.4150	25.69	24.75
STD2	0	11/05/22	13:09:40	25.76	608.37	3026.10	670.99	13.04	0.08	32.17	1021.30	-0.97	2.69	66.03	30.00	225.22	9.96	9.91	9.76	0.4120	25.69	25.12
STD3	0	11/05/22	13:14:27	26.13	1514.51	5006.10	1501.40	8.96	0.05	32.37	1021.40	-0.71	2.70	66.96	30.00	216.67	9.96	9.91	9.68	0.4080	25.87	25.75
STD3-DRAIN	0	11/05/22	13:15:54	26.23	1514.51	5003.80	1500.80	11.29	0.07	32.45	1021.30	-0.43	2.66	66.77	30.00	214.45	9.96	9.91	9.66	0.4090	25.94	25.94
STD3	0	11/05/22	13:17:42	26.30	1514.51	4986.80	1491.70	10.83	0.07	32.42	1021.40	-1.05	2.66	66.54	30.00	213.40	9.96	9.91	9.78	0.4120	26.00	25.56
ATM	0	11/05/22	13:22:30	26.15	NaN	2021.60	384.99	818.08	6.44	32.39	1021.30	-0.98	2.45	95.12	30.00	255.23	9.96	9.91	9.92	0.4170	26.00	24.69
ATM	0	11/05/22	13:23:57	26.16	NaN	2008.50	381.56	810.37	6.36	32.27	1021.30	-0.92	2.48	94.89	30.00	275.75	9.96	9.91	9.93	0.4180	26.00	24.37
ATM	0	11/05/22	13:25:23	26.30	NaN	2023.30	385.11	801.75	6.28	32.21	1021.30	-0.85	2.48	95.12	30.00	277.81	9.96	9.91	9.94	0.4190	25.94	24.25
EQU	0	11/05/22	13:30:45	26.19	NaN	1825.70	336.36	413.54	2.87	32.13	1021.20	-0.81	2.27	90.44	30.00	315.47	9.96	9.91	9.93	0.4180	25.75	24.31
