Type	error	PC Date	PC Time	equ temp	std val	CO2 mv	CO2 um/m	H2O mv	H2O mm/m	licor temp	licor press	equ press	H2O flow	licor flow	equ pump	vent flow	atm cond	equ cond	drip 1	drip 2	cond temp	dry box temp
EQU	0	11/05/22	00:02:56	23.49	NaN	6646.10	2221.60	381.54	2.63	33.30	1019.40	-0.90	2.71	89.06	30.00	303.65	9.96	9.88	9.87	0.4130	26.75	25.25
EQU	0	11/05/22	00:04:26	23.36	NaN	6728.40	2274.10	382.75	2.64	33.30	1019.40	-0.77	2.72	89.45	30.00	312.39	9.96	9.88	9.83	0.4110	26.75	25.56
EQU	0	11/05/22	00:05:57	23.49	NaN	6852.40	2355.40	386.87	2.67	33.35	1019.40	-0.83	2.70	88.35	30.00	264.21	9.96	9.88	9.77	0.4100	26.75	25.94
EQU	0	11/05/22	00:07:27	23.54	NaN	6942.90	2416.00	389.87	2.70	33.39	1019.40	-0.70	2.75	88.08	30.00	223.05	9.96	9.87	9.73	0.4080	26.75	26.25
EQU	0	11/05/22	00:08:58	23.47	NaN	6983.10	2443.30	391.25	2.71	33.40	1019.30	-0.75	2.77	88.35	30.00	202.26	9.96	9.87	9.70	0.4060	26.81	26.44
EQU	0	11/05/22	00:10:28	23.55	NaN	7016.10	2465.40	389.12	2.69	33.36	1019.30	-0.96	2.78	89.01	30.00	201.83	9.96	9.87	9.70	0.4060	26.81	26.31
EQU	0	11/05/22	00:11:59	23.56	NaN	6988.90	2445.90	383.29	2.64	33.25	1019.30	-0.90	2.76	87.48	30.00	202.37	9.96	9.87	9.80	0.4110	26.81	25.87
EQU	0	11/05/22	00:13:29	23.61	NaN	6940.40	2413.30	380.45	2.62	33.28	1019.40	-0.83	2.74	89.94	30.00	207.89	9.96	9.87	9.85	0.4140	26.75	25.62
EQU	0	11/05/22	00:15:00	23.78	NaN	6870.80	2366.60	379.62	2.62	33.25	1019.40	-0.83	2.73	87.97	30.00	245.34	9.96	9.87	9.89	0.4140	26.75	25.44
EQU	0	11/05/22	00:16:30	23.79	NaN	6823.40	2334.70	377.91	2.60	33.17	1019.40	-0.75	2.74	88.73	30.00	287.27	9.96	9.87	9.91	0.4150	26.69	25.19
EQU	0	11/05/22	00:18:00	23.79	NaN	6793.00	2314.50	376.25	2.59	33.12	1019.40	-0.93	2.74	87.48	30.00	309.38	9.96	9.87	9.92	0.4160	26.69	25.00
EQU	0	11/05/22	00:19:31	23.76	NaN	6783.20	2307.40	374.87	2.58	33.03	1019.40	-0.88	2.72	88.63	30.00	309.01	9.96	9.87	9.93	0.4160	26.62	24.81
EQU	0	11/05/22	00:21:01	23.73	NaN	6769.90	2298.00	373.54	2.57	32.97	1019.50	-1.02	2.73	88.79	30.00	308.44	9.96	9.87	9.93	0.4170	26.56	24.69
EQU	0	11/05/22	00:22:32	23.69	NaN	6766.90	2296.30	371.95	2.55	32.96	1019.40	-1.08	2.72	88.52	30.00	313.16	9.96	9.80	9.94	0.4160	26.50	24.62
EQU	0	11/05/22	00:24:03	23.64	NaN	6783.80	2306.10	371.58	2.55	32.82	1019.40	-1.35	2.74	88.08	30.00	316.98	9.96	9.86	9.94	0.4160	26.44	24.50
EQU	0	11/05/22	00:25:33	23.60	NaN	6802.50	2317.70	369.45	2.53	32.78	1019.50	-0.90	2.74	89.45	30.00	319.50	9.96	9.87	9.93	0.4160	26.37	24.69
EQU-DRAIN	0	11/05/22	00:27:04	23.40	NaN	6833.30	2338.20	373.66	2.57	32.82	1019.50	-1.04	2.73	86.62	30.00	317.96	9.96	9.87	9.91	0.4160	26.37	25.12
EQU	0	11/05/22	00:28:55	23.44	NaN	6851.50	2351.00	378.33	2.60	32.93	1019.50	-0.78	2.73	88.73	30.00	320.02	9.96	9.87	9.89	0.4140	26.37	25.62
EQU	0	11/05/22	00:30:25	23.58	NaN	6856.10	2354.30	380.95	2.62	32.93	1019.40	-0.96	2.75	89.67	30.00	321.29	9.96	9.87	9.88	0.4140	26.44	25.81
EQU	0	11/05/22	00:31:56	23.60	NaN	6818.40	2329.70	382.16	2.63	32.97	1019.50	-0.85	2.74	88.13	30.00	324.23	9.96	9.88	9.88	0.4140	26.44	25.87
EQU	0	11/05/22	00:33:26	23.63	NaN	6846.00	2348.00	380.83	2.62	32.99	1019.40	-1.02	2.76	87.43	30.00	322.81	9.96	9.88	9.86	0.4130	26.50	26.00
EQU	0	11/05/22	00:34:57	23.59	NaN	6858.70	2356.70	378.66	2.61	33.02	1019.40	-0.91	2.75	86.72	30.00	282.27	9.96	9.85	9.85	0.4130	26.50	25.94
EQU	0	11/05/22	00:36:27	23.51	NaN	6864.40	2360.20	372.91	2.56	33.01	1019.40	-1.04	2.77	87.43	30.00	260.62	9.96	8.59	9.89	0.4140	26.50	25.50
EQU	0	11/05/22	00:37:58	23.46	NaN	6874.70	2365.60	366.75	2.51	32.84	1019.40	-1.03	2.77	87.75	30.00	249.18	9.96	9.84	9.92	0.4140	26.50	25.12
EQU	0	11/05/22	00:39:28	23.38	NaN	6887.50	2374.00	364.83	2.50	32.84	1019.50	-0.90	2.75	88.79	30.00	293.35	9.96	9.85	9.92	0.4160	26.44	24.87
EQU	0	11/05/22	00:40:59	23.28	NaN	6888.10	2373.60	362.54	2.48	32.74	1019.40	-1.06	2.76	86.94	30.00	337.89	9.96	9.85	9.93	0.4160	26.37	24.62
EQU	0	11/05/22	00:42:29	23.24	NaN	6912.40	2389.40	361.00	2.47	32.69	1019.40	-1.08	2.73	88.79	30.00	363.51	9.96	9.85	9.94	0.4160	26.31	24.37
EQU	0	11/05/22	00:44:00	23.22	NaN	6933.60	2402.60	359.70	2.46	32.57	1019.40	-1.14	2.80	87.64	30.00	365.63	9.96	9.85	9.94	0.4170	26.25	24.25
EQU	0	11/05/22	00:45:30	23.16	NaN	6950.80	2413.80	359.25	2.45	32.53	1019.40	-1.19	2.80	88.46	30.00	369.24	9.96	9.86	9.93	0.4170	26.12	24.25
EQU	0	11/05/22	00:47:00	23.15	NaN	6944.20	2409.40	364.33	2.49	32.54	1019.50	-0.99	2.80	87.32	30.00	368.37	9.96	9.87	9.92	0.4170	26.06	24.56
EQU	0	11/05/22	00:48:31	23.16	NaN	6925.50	2396.60	371.50	2.55	32.54	1019.50	-1.26	2.81	87.97	30.00	321.42	9.96	9.87	9.90	0.4160	26.06	25.00
EQU	0	11/05/22	00:50:01	23.18	NaN	6915.10	2389.80	375.50	2.58	32.52	1019.50	-1.00	2.79	87.97	30.00	273.84	9.96	9.87	9.88	0.4140	26.06	25.25
EQU	0	11/05/22	00:51:32	23.15	NaN	6914.60	2389.80	376.54	2.59	32.55	1019.50	-1.05	2.78	86.99	30.00	228.27	9.96	9.87	9.86	0.4130	26.06	25.37
EQU	0	11/05/22	00:53:02	23.17	NaN	6921.80	2394.80	377.45	2.59	32.57	1019.50	-0.61	2.81	88.52	30.00	228.58	9.96	9.87	9.85	0.4140	26.12	25.50
ATM-DRAIN	0	11/05/22	00:57:50	23.15	NaN	2042.70	350.00	730.54	5.61	32.57	1019.40	-0.66	2.79	89.39	30.00	223.97	9.96	9.87	9.86	0.4140	26.12	25.25
ATM	0	11/05/22	00:59:38	23.15	NaN	2025.60	346.08	716.75	5.48	32.51	1019.40	-1.00	2.82	89.28	30.00	224.33	9.96	9.87	9.90	0.4150	26.12	24.75
ATM	0	11/05/22	01:01:06	23.10	NaN	2021.60	345.17	717.41	5.49	32.48	1019.40	-1.10	2.82	89.17	30.00	238.80	9.96	9.87	9.91	0.4160	26.06	24.56
EQU	0	11/05/22	01:06:30	23.20	NaN	6880.00	2365.70	369.00	2.53	32.39	1019.40	-1.00	2.82	90.94	30.00	229.35	9.96	9.87	9.89	0.4160	25.87	24.75
EQU	0	11/05/22	01:08:00	23.22	NaN	6855.40	2349.20	373.41	2.56	32.35	1019.40	-1.05	2.82	92.00	30.00	226.05	9.96	9.87	9.86	0.4150	25.87	25.12
EQU	0	11/05/22	01:09:31	23.22	NaN	6879.50	2365.50	374.70	2.57	32.39	1019.40	-0.89	2.81	92.73	30.00	224.23	9.96	9.87	9.84	0.4140	25.87	25.44
EQU	0	11/05/22	01:11:02	23.20	NaN	6848.10	2345.40	377.79	2.60	32.45	1019.40	-0.70	2.82	91.33	30.00	225.36	9.96	9.87	9.81	0.4130	25.87	25.62
EQU	0	11/05/22	01:12:33	23.17	NaN	6992.70	2442.10	377.37	2.59	32.48	1019.40	-0.93	2.82	92.40	30.00	227.28	9.96	9.87	9.80	0.4130	25.94	25.75
EQU	0	11/05/22	01:14:04	23.12	NaN	6995.30	2444.60	379.91	2.61	32.55	1019.30	-1.02	2.87	90.22	30.00	226.79	9.96	9.87	9.77	0.4110	25.94	25.81
EQU	0	11/05/22	01:15:35	23.13	NaN	6997.90	2446.70	381.29	2.62	32.57	1019.30	-0.70	2.91	90.00	30.00	223.77	9.96	9.87	9.75	0.4110	26.00	25.94
EQU	0	11/05/22	01:17:05	23.09	NaN	7008.20	2454.50	382.66	2.64	32.67	1019.30	-0.70	2.91	90.28	30.00	224.27	9.96	9.87	9.75	0.4110	26.06	26.00
EQU	0	11/05/22	01:18:36	23.09	NaN	6890.00	2375.70	385.00	2.65	32.73	1019.30	-0.71	2.85	90.44	30.00	225.62	9.96	9.87	9.76	0.4110	26.12	26.12
EQU	0	11/05/22	01:20:06	23.10	NaN	6967.40	2427.80	384.08	2.65	32.77	1019.30	-0.70	2.83	89.78	30.00	224.76	9.96	9.87	9.75	0.4100	26.19	26.12
EQU	0	11/05/22	01:21:36	23.06	NaN	7027.00	2468.50	384.12	2.65	32.84	1019.30	-0.67	2.82	89.06	30.00	223.10	9.96	9.87	9.74	0.4090	26.19	26.25
EQU	0	11/05/22	01:23:07	23.07	NaN	7025.70	2467.80	384.87	2.65	32.85	1019.30	-0.63	2.83	89.06	30.00	223.51	9.96	9.87	9.74	0.4090	26.31	26.31
EQU	0	11/05/22	01:24:37	23.05	NaN	7036.10	2475.60	385.33	2.66	32.96	1019.40	-0.76	2.83	89.72	30.00	224.40	9.96	9.87	9.74	0.4090	26.31	26.31
EQU	0	11/05/22	01:26:08	23.08	NaN	7035.90	2475.80	384.95	2.66	32.98	1019.30	-0.79	2.83	88.68	30.00	222.46	9.96	9.86	9.74	0.4090	26.37	26.31
EQU-DRAIN	0	11/05/22	01:27:38	23.06	NaN	7026.20	2469.00	379.83	2.62	32.96	1019.30	-0.82	2.83	89.12	30.00	224.63	9.96	9.87	9.83	0.4120	26.37	25.81
EQU	0	11/05/22	01:29:30	23.00	NaN	7037.00	2475.60	369.00	2.53	32.88	1019.30	-0.79	2.82	88.63	30.00	242.80	9.96	9.87	9.90	0.4150	26.31	25.06
EQU	0	11/05/22	01:31:00	23.00	NaN	7035.40	2473.80	367.08	2.52	32.82	1019.40	-0.92	2.81	88.95	30.00	256.49	9.96	9.87	9.92	0.4160	26.19	24.75
EQU	0	11/05/22	01:32:31	23.03	NaN	7019.90	2462.70	367.62	2.52	32.77	1019.40	-0.91	2.81	88.35	30.00	260.59	9.96	9.87	9.93	0.4170	26.12	24.50
EQU	0	11/05/22	01:34:01	23.05	NaN	7026.30	2466.80	373.16	2.56	32.73	1019.40	-0.97	2.83	88.79	30.00	247.81	9.96	9.87	9.91	0.4160	26.06	24.75
EQU	0	11/05/22	01:35:31	23.04	NaN	7020.40	2463.60	380.91	2.62	32.82	1019.40	-0.72	2.82	89.17	30.00	236.65	9.96	9.87	9.90	0.4150	26.06	25.25
EQU	0	11/05/22	01:37:02	22.95	NaN	7026.50	2468.00	383.95	2.65	32.83	1019.40	-0.70	2.80	89.39	30.00	228.11	9.96	9.87	9.89	0.4150	26.06	25.56
EQU	0	11/05/22	01:38:33	22.94	NaN	7029.00	2469.80	387.25	2.67	32.85	1019.40	-0.65	2.82	89.61	30.00	225.92	9.96	9.87	9.88	0.4150	26.06	25.81
EQU	0	11/05/22	01:40:03	22.93	NaN	7033.70	2473.40	389.75	2.69	32.92	1019.40	-0.62	2.81	89.17	30.00	228.26	9.96	9.87	9.87	0.4140	26.12	25.94
EQU	0	11/05/22	01:41:34	22.95	NaN	7045.50	2481.30	389.20	2.69	32.91	1019.40	-0.77	2.82	89.78	30.00	228.16	9.96	9.87	9.86	0.4130	26.19	26.06
