Type	error	PC Date	PC Time	equ temp	std val	CO2 mv	CO2 um/m	H2O mv	H2O mm/m	licor temp	licor press	equ press	H2O flow	licor flow	equ pump	vent flow	atm cond	equ cond	drip 1	drip 2	cond temp	dry box temp
STD1z	0	10/05/22	14:18:37	28.30	0.00	-50.62	-0.04	12.46	0.07	30.47	1019.80	-1.11	2.75	66.26	30.00	313.18	9.96	9.82	9.95	0.4190	24.25	23.31
STD3s	0	10/05/22	14:23:27	28.30	0.00	5015.70	1503.10	10.54	0.06	30.39	1019.90	-1.16	2.78	66.40	30.00	414.20	9.96	9.85	9.95	0.4190	24.25	23.31
STD1	0	10/05/22	14:28:14	28.59	0.00	-48.70	0.27	8.08	0.05	30.41	1020.00	-1.01	2.78	65.71	30.00	276.10	9.96	9.85	9.95	0.4200	24.25	23.31
STD1	0	10/05/22	14:29:41	28.62	0.00	-49.50	0.16	7.46	0.04	30.35	1020.00	-1.10	2.79	65.76	30.00	278.51	9.96	9.85	9.95	0.4190	24.25	23.37
STD2	0	10/05/22	14:34:28	29.03	608.37	3014.50	670.61	11.42	0.07	30.34	1020.10	-1.04	2.67	68.31	30.00	241.06	9.96	9.85	9.95	0.4190	24.31	23.37
STD2	0	10/05/22	14:35:56	28.92	608.37	3010.30	669.20	13.08	0.08	30.33	1020.10	-1.23	2.68	66.77	30.00	221.44	9.96	9.86	9.95	0.4190	24.31	23.19
STD3	0	10/05/22	14:40:43	28.83	1514.51	5028.90	1520.10	8.67	0.05	30.26	1020.10	-0.85	2.68	66.77	30.00	301.24	9.96	9.86	9.95	0.4190	24.31	23.19
STD3	0	10/05/22	14:42:09	29.05	1514.51	5021.80	1516.40	11.00	0.07	30.30	1020.20	-0.96	2.69	66.26	30.00	289.63	9.96	9.86	9.95	0.4200	24.31	23.25
ATM-DRAIN	0	10/05/22	14:46:56	29.32	NaN	2038.10	390.61	781.83	6.05	30.29	1020.20	-1.27	2.68	100.43	30.00	312.57	9.96	9.86	9.95	0.4190	24.31	23.37
ATM	0	10/05/22	14:48:43	29.02	NaN	2034.20	389.54	766.83	5.91	30.28	1020.30	-0.93	2.66	100.67	30.00	315.29	9.96	9.85	9.95	0.4190	24.31	23.19
EQU	0	10/05/22	14:54:06	28.32	NaN	6991.40	2799.20	409.41	2.82	30.22	1020.20	-1.02	2.66	102.53	30.00	306.27	9.96	9.85	9.95	0.4200	24.31	23.12
