Type	error	PC Date	PC Time	equ temp	std val	CO2 mv	CO2 um/m	H2O mv	H2O mm/m	licor temp	licor press	equ press	H2O flow	licor flow	equ pump	vent flow	atm cond	equ cond	drip 1	drip 2	cond temp	dry box temp
STD1z	0	12/05/22	11:04:43	25.63	0.00	-51.05	-0.75	5.75	0.03	32.85	1016.60	-1.03	1.44	66.54	29.00	323.79	9.96	9.93	9.90	0.4200	25.12	24.50
STD3s	0	12/05/22	11:09:34	26.16	0.00	4937.50	1308.70	6.37	0.04	32.67	1016.60	-1.29	2.74	66.31	29.00	346.85	9.96	9.93	9.49	0.4040	25.12	24.69
STD1	0	12/05/22	11:14:20	25.66	0.00	-48.55	-7.12	5.21	0.03	32.55	1016.70	-0.89	2.80	66.68	29.00	364.15	9.95	9.93	9.41	0.4010	25.06	24.44
STD1	0	12/05/22	11:15:46	25.93	0.00	-49.15	-7.21	5.00	0.03	32.41	1016.70	-0.81	2.79	66.08	29.00	368.27	9.95	9.93	9.48	0.4040	25.00	24.37
STD1	0	12/05/22	11:17:13	25.64	0.00	-49.67	-7.29	4.33	0.03	32.47	1016.60	-0.84	2.82	66.63	29.00	370.86	9.96	9.93	9.33	0.3980	25.00	24.62
STD2	0	12/05/22	11:22:00	25.73	608.37	2971.80	586.50	6.00	0.04	32.09	1016.80	-1.28	2.86	68.03	29.00	366.23	9.95	9.93	9.80	0.4170	24.94	23.75
STD2	0	12/05/22	11:23:26	25.83	608.37	2975.20	587.33	8.04	0.05	31.99	1016.70	-1.04	2.86	66.86	29.00	365.90	9.95	9.93	9.85	0.4190	24.94	23.69
STD2	0	12/05/22	11:24:53	26.17	608.37	2977.60	587.74	9.17	0.06	31.84	1016.70	-0.86	2.85	66.73	29.00	364.16	9.95	9.93	9.89	0.4200	24.87	23.50
STD3	0	12/05/22	11:29:40	26.32	1514.51	4961.70	1315.60	6.46	0.04	31.81	1016.80	-1.02	2.88	66.40	29.00	361.06	9.95	9.93	9.82	0.4180	24.81	24.37
STD3-DRAIN	0	12/05/22	11:31:06	26.13	1514.51	4965.10	1317.30	8.17	0.05	31.84	1016.80	-1.08	2.90	66.03	29.00	362.30	9.95	9.93	9.81	0.4170	24.87	24.75
STD3	0	12/05/22	11:32:54	26.04	1514.51	4951.80	1311.10	8.08	0.05	31.83	1016.80	-0.69	2.90	65.94	29.00	362.14	9.96	9.93	9.75	0.4160	24.94	25.06
ATM	0	12/05/22	11:37:42	25.68	NaN	1978.10	336.00	823.29	6.51	31.65	1016.80	-1.08	2.86	99.37	29.00	362.21	9.95	9.93	9.87	0.4210	24.94	24.44
ATM	0	12/05/22	11:39:09	25.97	NaN	2002.60	341.44	820.66	6.48	31.66	1016.80	-0.44	2.87	99.48	29.00	361.58	9.95	9.93	9.89	0.4210	24.94	24.50
ATM	0	12/05/22	11:40:36	26.26	NaN	2000.60	340.92	818.45	6.46	31.59	1016.80	-1.52	2.86	99.42	29.00	360.68	9.95	9.93	9.90	0.4210	24.94	24.25
EQU	0	12/05/22	11:45:59	25.84	NaN	1581.70	252.38	418.83	2.91	31.32	1016.50	-1.03	2.24	91.11	29.00	353.95	9.95	9.93	9.92	0.4210	24.81	23.37
EQU	0	12/05/22	11:47:30	25.54	NaN	1628.90	261.48	417.75	2.90	31.22	1016.90	-1.21	2.52	95.01	29.00	354.18	9.95	9.93	9.93	0.4220	24.75	23.25
