Type	error	PC Date	PC Time	equ temp	std val	CO2 mv	CO2 um/m	H2O mv	H2O mm/m	licor temp	licor press	equ press	H2O flow	licor flow	equ pump	vent flow	atm cond	equ cond	drip 1	drip 2	cond temp	dry box temp
STD1z	0	10/05/22	16:48:53	23.02	0.00	-47.47	-0.14	9.75	0.06	31.24	1020.90	-1.23	2.64	66.08	30.00	268.42	9.96	9.85	9.95	0.4170	24.94	23.87
STD3s	0	10/05/22	16:53:44	23.45	0.00	5049.10	1531.50	7.87	0.05	31.18	1020.90	-2.97	1.01	67.79	30.00	250.32	9.96	9.85	9.95	0.4180	24.81	23.87
STD1	0	10/05/22	16:58:30	23.40	0.00	-47.30	0.03	7.17	0.04	31.10	1020.90	-0.70	2.15	65.71	30.00	210.91	9.96	9.85	9.95	0.4170	24.75	23.81
STD1	0	10/05/22	16:59:58	23.22	0.00	-48.10	-6.43	7.04	0.04	31.22	1020.90	-0.67	2.44	66.17	30.00	228.08	9.96	9.85	9.94	0.4170	24.75	24.19
STD1	0	10/05/22	17:01:24	23.10	0.00	-48.47	-6.48	6.71	0.04	31.39	1020.90	-0.04	2.46	66.77	30.00	232.76	9.96	9.84	9.78	0.4110	24.81	25.12
STD2	0	10/05/22	17:06:11	22.97	608.37	3044.40	602.95	9.25	0.06	31.54	1020.90	-1.05	2.78	70.20	30.00	205.19	9.96	9.84	9.37	0.3950	24.94	24.69
STD2	0	10/05/22	17:07:37	22.99	608.37	3039.90	601.78	11.50	0.07	31.62	1020.90	-0.19	2.79	67.75	30.00	205.20	9.96	9.85	9.22	0.3900	25.00	24.94
STD2	0	10/05/22	17:09:04	22.98	608.37	3035.90	600.62	11.92	0.07	31.64	1020.90	-1.07	2.78	67.98	30.00	205.07	9.96	9.85	9.32	0.3930	25.00	25.00
STD3	0	10/05/22	17:13:51	23.15	1514.51	5032.60	1338.10	7.62	0.05	31.73	1020.90	1.43	2.36	68.73	30.00	205.01	9.96	9.85	9.02	0.3810	25.19	25.25
STD3-DRAIN	0	10/05/22	17:15:17	23.45	1514.51	5016.50	1330.90	9.92	0.06	31.77	1021.00	-0.67	2.62	68.08	30.00	207.21	9.96	9.75	8.81	0.3720	25.25	25.25
STD3	0	10/05/22	17:17:05	23.28	1514.51	5022.10	1333.80	10.00	0.06	31.79	1020.80	-3.67	0.90	67.47	30.00	206.68	9.96	9.85	9.11	0.3840	25.31	25.00
ATM	0	10/05/22	17:21:52	22.98	NaN	2020.40	343.73	756.87	5.84	31.92	1020.80	0.64	2.78	101.56	30.00	206.77	9.96	9.85	9.05	0.3820	25.44	25.06
ATM	0	10/05/22	17:23:18	22.94	NaN	2033.20	346.56	756.50	5.84	31.93	1020.90	-1.32	2.49	101.44	30.00	206.53	9.96	9.85	8.97	0.3790	25.44	25.00
ATM	0	10/05/22	17:24:45	22.96	NaN	2039.10	347.92	763.62	5.91	31.96	1020.90	-0.78	2.79	101.86	30.00	203.27	9.96	9.85	8.88	0.3750	25.44	25.06
EQU	0	10/05/22	17:30:08	23.09	NaN	7084.70	2494.00	407.70	2.82	32.00	1020.90	-0.68	2.87	88.24	30.00	205.51	9.96	9.85	9.24	0.3890	25.62	25.06
EQU	0	10/05/22	17:31:39	23.03	NaN	6951.20	2403.80	400.25	2.76	31.99	1020.80	-1.15	2.50	90.83	30.00	202.61	9.96	9.84	9.19	0.3880	25.62	25.06
EQU	0	10/05/22	17:33:10	22.95	NaN	6958.30	2408.60	396.79	2.74	32.00	1020.80	-0.33	2.79	94.21	30.00	201.83	9.96	9.84	9.23	0.3890	25.69	25.06
EQU	0	10/05/22	17:34:41	22.94	NaN	7058.30	2477.30	396.66	2.74	32.10	1020.80	-1.02	2.84	91.78	30.00	203.85	9.96	9.82	9.01	0.3810	25.75	25.31
EQU	0	10/05/22	17:36:12	22.92	NaN	6957.80	2409.30	393.58	2.71	32.14	1020.80	-0.40	2.07	91.44	30.00	208.83	9.96	9.81	9.07	0.3820	25.75	25.19
EQU	0	10/05/22	17:37:43	23.07	NaN	6911.40	2378.90	395.91	2.73	32.15	1020.80	-1.41	2.83	92.57	30.00	210.56	9.96	9.82	9.04	0.3810	25.75	25.19
EQU	0	10/05/22	17:39:14	23.09	NaN	6921.30	2386.00	391.95	2.70	32.23	1020.80	-0.93	2.88	90.78	30.00	209.54	9.96	9.82	8.89	0.3770	25.81	25.37
EQU	0	10/05/22	17:40:45	22.94	NaN	6972.30	2420.90	397.29	2.74	32.31	1020.70	-0.16	2.90	90.39	30.00	210.06	9.96	9.82	8.72	0.3690	25.87	25.81
EQU	0	10/05/22	17:42:16	22.89	NaN	7079.00	2494.10	400.33	2.77	32.40	1020.70	-1.62	2.89	90.61	30.00	211.62	9.96	9.81	8.52	0.3600	25.94	26.06
EQU	0	10/05/22	17:43:47	22.86	NaN	7062.30	2483.10	398.08	2.75	32.43	1020.70	-1.10	2.43	90.66	30.00	214.98	9.96	9.81	8.38	0.3530	26.00	26.06
EQU-DRAIN	0	10/05/22	17:45:18	22.88	NaN	7053.70	2476.70	388.70	2.68	32.37	1020.70	-0.74	2.77	92.23	30.00	217.17	9.96	9.83	8.82	0.3730	26.00	25.75
EQU	0	10/05/22	17:47:09	22.93	NaN	7057.30	2480.10	383.00	2.63	32.51	1020.70	-0.01	2.80	93.92	30.00	217.48	9.96	9.83	9.14	0.3860	26.06	25.69
EQU	0	10/05/22	17:48:40	23.32	NaN	6959.10	2412.30	379.08	2.60	32.34	1020.70	2.56	2.82	94.61	30.00	219.74	9.96	9.84	9.60	0.4040	26.06	24.94
EQU	0	10/05/22	17:50:10	23.42	NaN	7025.20	2456.00	372.95	2.55	32.26	1020.70	-0.52	2.83	90.44	30.00	218.04	9.96	9.84	9.86	0.4160	26.06	24.37
EQU	0	10/05/22	17:51:41	23.10	NaN	7058.80	2478.90	370.83	2.54	32.20	1020.60	-0.32	2.72	89.06	30.00	252.95	9.96	9.84	9.91	0.4170	26.00	24.25
EQU	0	10/05/22	17:53:11	23.22	NaN	7082.30	2495.10	367.16	2.51	32.22	1020.60	-0.99	2.76	93.36	30.00	265.99	9.96	9.85	9.93	0.4180	25.94	24.06
EQU	0	10/05/22	17:54:42	23.27	NaN	7103.50	2508.90	365.95	2.50	32.12	1020.60	-1.36	2.75	90.72	30.00	286.24	9.96	9.85	9.94	0.4180	25.87	23.50
EQU	0	10/05/22	17:56:13	23.13	NaN	6967.40	2415.60	365.54	2.49	31.99	1020.60	0.17	2.64	89.89	30.00	286.71	9.96	9.85	9.94	0.4180	25.81	23.69
EQU	0	10/05/22	17:57:44	23.27	NaN	6923.00	2385.40	363.58	2.48	31.94	1020.60	-1.06	2.76	93.02	30.00	278.55	9.96	9.85	9.95	0.4170	25.75	23.69
EQU	0	10/05/22	17:59:15	23.25	NaN	6972.40	2417.70	363.12	2.47	31.87	1020.60	-0.96	2.77	95.93	30.00	290.32	9.96	9.85	9.95	0.4190	25.69	23.62
EQU	0	10/05/22	18:00:46	23.05	NaN	6964.30	2411.70	364.20	2.48	31.76	1020.60	-1.46	2.76	91.72	30.00	300.89	9.96	9.85	9.95	0.4190	25.62	23.50
EQU	0	10/05/22	18:02:17	22.98	NaN	6962.10	2409.10	362.04	2.46	31.60	1020.50	-0.99	2.77	94.26	30.00	325.06	9.96	9.85	9.95	0.4190	25.56	23.37
EQU	0	10/05/22	18:03:48	22.97	NaN	6917.40	2379.10	363.20	2.47	31.62	1020.60	-1.35	2.77	90.28	30.00	323.85	9.96	9.85	9.95	0.4190	25.50	23.37
EQU	0	10/05/22	18:05:19	22.93	NaN	6922.70	2382.10	366.58	2.50	31.52	1020.60	-2.81	0.97	91.17	30.00	328.31	9.96	9.85	9.95	0.4190	25.37	23.25
EQU	0	10/05/22	18:06:50	23.23	NaN	6869.10	2345.90	367.66	2.51	31.39	1020.50	-1.03	2.80	92.68	30.00	295.83	9.96	9.85	9.95	0.4190	25.31	23.19
EQU	0	10/05/22	18:08:22	23.12	NaN	6969.60	2411.80	368.45	2.51	31.31	1020.50	-1.62	2.77	91.89	30.00	292.54	9.96	9.86	9.95	0.4190	25.25	23.12
