Type	error	PC Date	PC Time	equ temp	std val	CO2 mv	CO2 um/m	H2O mv	H2O mm/m	licor temp	licor press	equ press	H2O flow	licor flow	equ pump	vent flow	atm cond	equ cond	drip 1	drip 2	cond temp	dry box temp
STD1z	0	10/05/22	05:18:24	23.50	0.00	-50.92	-6.88	9.46	0.06	33.28	1016.60	-1.02	0.05	65.76	30.00	318.88	9.96	9.76	9.95	0.4210	24.75	22.94
STD3s	0	10/05/22	05:23:14	23.48	0.00	4915.20	1325.10	14.87	0.09	33.44	1016.60	-0.89	0.05	66.49	30.00	316.34	9.96	9.74	9.93	0.4190	24.81	23.81
STD1	0	10/05/22	05:28:01	23.54	0.00	-49.05	0.27	9.58	0.06	33.74	1016.60	-0.92	0.05	66.13	30.00	325.00	9.96	9.74	9.92	0.4200	24.94	22.19
STD1	0	10/05/22	05:29:27	23.54	0.00	-49.72	0.17	9.04	0.05	33.85	1016.60	-0.94	0.05	66.26	30.00	324.36	9.96	9.75	9.94	0.4200	24.94	22.56
STD1	0	10/05/22	05:30:54	23.53	0.00	-50.05	0.13	8.58	0.05	33.97	1016.60	-0.96	0.05	66.08	30.00	325.77	9.96	9.76	9.95	0.4200	24.94	21.87
STD2	0	10/05/22	05:35:41	23.40	608.37	2969.20	678.84	16.29	0.10	34.26	1016.60	-1.02	0.05	67.94	30.00	329.37	9.96	9.79	9.96	0.4210	24.94	21.25
STD2	0	10/05/22	05:37:07	23.34	608.37	2977.10	681.70	16.96	0.10	34.35	1016.70	-1.00	0.05	67.24	30.00	330.87	9.96	9.81	9.96	0.4210	24.94	21.37
STD2	0	10/05/22	05:38:34	23.29	608.37	2968.40	678.91	16.54	0.10	34.42	1016.60	-1.00	0.05	66.54	30.00	326.87	9.96	9.82	9.95	0.4210	24.87	22.06
STD3	0	10/05/22	05:43:21	23.22	1514.51	4923.40	1525.30	12.54	0.08	34.78	1016.60	-0.85	0.05	66.26	30.00	315.07	9.96	9.83	9.95	0.4200	24.94	23.69
STD3-DRAIN	0	10/05/22	05:44:49	23.23	1514.51	4929.80	1529.20	14.08	0.09	34.85	1016.60	-0.86	0.05	65.62	30.00	319.31	9.96	9.83	9.95	0.4200	25.00	23.75
STD3	0	10/05/22	05:46:37	23.26	1514.51	4944.10	1537.40	13.12	0.08	34.99	1016.60	-0.82	0.05	65.85	30.00	315.05	9.96	9.84	9.95	0.4200	25.06	24.00
ATM	0	10/05/22	05:51:24	23.31	NaN	1987.80	392.22	862.58	6.98	35.30	1016.60	-0.93	0.05	100.49	30.00	319.78	9.96	9.85	9.95	0.4210	25.19	22.00
