Type	error	PC Date	PC Time	equ temp	std val	CO2 mv	CO2 um/m	H2O mv	H2O mm/m	licor temp	licor press	equ press	H2O flow	licor flow	equ pump	vent flow	atm cond	equ cond	drip 1	drip 2	cond temp	dry box temp
STD1z	0	12/10/22	06:56:32	25.82	0.00	-38.75	0.85	13.71	0.08	27.81	1016.20	-2.39	0.92	71.44	29.00	7.43	9.95	9.96	7.81	0.3350	4.25	20.87
STD4s	0	12/10/22	07:01:23	25.89	0.00	6072.80	1973.60	12.83	0.08	27.62	1016.20	-2.08	2.59	70.29	29.00	6.77	9.95	9.96	8.23	0.3530	4.25	21.25
STD1	0	12/10/22	07:06:10	25.99	0.00	-40.08	-0.19	12.62	0.08	28.02	1016.20	-1.46	2.52	71.97	29.00	-13.46	9.95	9.96	5.39	0.2320	4.44	22.81
STD2	0	12/10/22	07:10:56	26.02	608.37	3192.40	691.24	15.12	0.09	27.54	1016.20	-2.03	2.53	72.12	29.00	-9.28	9.95	9.96	6.64	0.2850	4.75	21.69
STD3	0	12/10/22	07:15:42	25.96	1491.50	5280.70	1557.50	14.96	0.09	27.16	1016.20	-2.23	2.59	70.39	29.00	8.68	9.95	9.96	8.17	0.3490	4.25	20.75
STD4	0	12/10/22	07:20:28	26.00	1976.50	6058.00	1992.70	13.50	0.08	27.23	1016.10	-1.78	2.67	70.96	29.00	-17.49	9.95	9.96	6.41	0.2750	4.62	21.75
ATM-DRAIN	0	12/10/22	07:24:55	26.11	NaN	2099.70	384.55	500.70	3.53	27.24	1015.90	-1.59	2.67	115.60	29.00	-13.28	9.95	9.96	5.03	0.2180	4.37	22.37
ATM	0	12/10/22	07:26:42	26.09	NaN	2110.40	387.40	509.91	3.61	27.43	1015.90	-1.08	2.61	118.97	29.00	-14.62	9.95	9.96	3.95	0.1720	4.44	22.81
ATM	0	12/10/22	07:28:09	26.11	NaN	2108.50	387.12	512.33	3.63	27.58	1015.90	-1.11	1.75	116.25	29.00	-13.55	9.95	9.96	3.37	0.1480	4.56	23.19
ATM	0	12/10/22	07:29:36	26.23	NaN	2121.40	390.32	524.83	3.73	27.62	1015.90	-0.58	2.34	116.45	29.00	-15.72	9.95	9.96	2.74	0.1210	4.81	23.31
ATM	0	12/10/22	07:31:03	26.27	NaN	2116.40	389.19	525.50	3.74	27.67	1015.90	-1.08	2.52	115.20	29.00	2.92	9.95	9.96	2.84	0.1250	4.94	22.69
EQU	0	12/10/22	07:36:05	26.30	NaN	5752.80	1817.70	290.87	1.92	27.56	1016.00	-1.48	2.50	98.78	29.00	33.21	9.95	9.96	4.33	0.1880	4.25	22.31
EQU	0	12/10/22	07:38:36	26.33	NaN	5670.20	1770.90	273.62	1.79	27.45	1015.90	-1.55	2.40	98.37	29.00	47.11	9.95	9.96	5.26	0.2260	4.50	22.06
EQU	0	12/10/22	07:41:06	26.28	NaN	5692.10	1782.80	261.12	1.70	27.39	1015.90	-1.61	2.34	97.90	29.00	45.65	9.95	9.96	6.15	0.2640	4.56	21.87
EQU	0	12/10/22	07:43:36	26.22	NaN	5668.90	1769.10	250.25	1.62	27.28	1015.90	-1.58	2.16	98.25	29.00	36.83	9.95	9.96	7.10	0.3040	4.44	21.94
EQU	0	12/10/22	07:46:07	26.31	NaN	5679.90	1773.60	242.29	1.57	27.16	1016.10	-1.82	2.38	98.13	29.00	45.08	9.95	9.96	7.79	0.3320	4.44	21.75
EQU	0	12/10/22	07:48:37	26.35	NaN	5691.20	1779.30	239.54	1.55	27.16	1016.30	-1.47	2.29	98.72	29.00	37.88	9.95	9.96	7.54	0.3210	4.31	21.94
EQU	0	12/10/22	07:51:07	26.41	NaN	5660.70	1761.00	234.33	1.51	27.03	1016.50	-1.67	2.17	98.42	29.00	32.38	9.95	9.96	8.16	0.3470	5.00	21.81
EQU-DRAIN	0	12/10/22	07:53:37	26.37	NaN	5642.10	1753.10	242.50	1.57	27.37	1016.30	-0.58	2.49	98.37	29.00	57.29	9.95	9.96	6.89	0.2950	4.31	23.06
EQU	0	12/10/22	07:56:28	26.46	NaN	5693.40	1785.10	264.12	1.73	27.85	1016.20	-0.41	2.37	98.13	29.00	23.05	9.95	9.96	2.78	0.1240	4.69	24.25
EQU	0	12/10/22	07:58:58	26.42	NaN	5727.70	1805.10	272.16	1.78	27.96	1016.30	-0.32	2.63	97.72	29.00	29.29	9.95	9.96	2.53	0.1140	4.44	23.56
EQU	0	12/10/22	08:01:28	26.31	NaN	5699.00	1788.50	269.83	1.77	27.88	1016.20	-0.39	2.61	97.96	29.00	35.37	9.95	9.96	3.08	0.1360	4.56	22.81
EQU	0	12/10/22	08:03:58	26.33	NaN	5644.60	1757.50	260.33	1.70	27.81	1016.20	-0.47	2.57	96.39	29.00	23.51	9.95	9.96	4.14	0.1780	4.75	22.56
EQU	0	12/10/22	08:06:28	26.32	NaN	5626.80	1747.20	250.54	1.63	27.86	1016.50	-0.70	2.63	97.72	29.00	23.80	9.95	9.96	5.02	0.2160	4.37	22.44
EQU	0	12/10/22	08:08:58	26.33	NaN	5607.90	1736.80	244.41	1.59	27.84	1016.40	-0.79	2.26	97.49	29.00	24.59	9.95	9.96	5.87	0.2510	4.69	22.44
EQU	0	12/10/22	08:11:29	26.28	NaN	5602.90	1734.80	240.41	1.56	27.84	1016.10	-0.57	1.94	97.14	29.00	24.59	9.95	9.96	6.57	0.2790	4.37	22.44
EQU	0	12/10/22	08:13:59	26.26	NaN	5547.00	1702.50	234.00	1.51	27.57	1016.20	-0.96	2.61	96.27	29.00	26.10	9.95	9.96	7.62	0.3250	4.56	22.00
EQU	0	12/10/22	08:16:29	26.32	NaN	5457.40	1653.20	226.58	1.46	27.43	1016.20	-1.20	2.58	98.13	29.00	21.70	9.95	9.96	8.44	0.3580	4.37	21.75
EQU	0	12/10/22	08:18:59	26.31	NaN	5444.30	1645.40	222.54	1.43	27.33	1016.20	-1.14	2.57	97.84	29.00	17.39	9.95	9.96	8.78	0.3720	4.62	21.87
EQU	0	12/10/22	08:21:29	26.29	NaN	5449.80	1648.10	220.75	1.42	27.37	1016.40	-1.46	0.95	97.43	29.00	51.78	9.95	9.96	8.85	0.3750	4.25	21.94
EQU-DRAIN	0	12/10/22	08:23:59	26.35	NaN	5455.20	1651.90	227.95	1.47	27.59	1016.50	-0.45	2.65	98.13	29.00	37.33	9.95	9.96	8.12	0.3450	4.87	22.87
EQU	0	12/10/22	08:26:50	26.27	NaN	5438.50	1645.00	239.58	1.55	27.93	1016.50	-0.30	2.50	97.96	29.00	21.81	9.95	9.96	6.69	0.2840	4.87	23.62
EQU	0	12/10/22	08:29:21	26.37	NaN	5516.00	1686.70	242.91	1.58	28.04	1016.70	-0.50	2.67	97.55	29.00	28.70	9.95	9.96	5.86	0.2510	4.87	23.62
EQU	0	12/10/22	08:31:52	26.29	NaN	5449.80	1651.60	250.70	1.63	28.15	1016.70	-0.31	2.67	98.13	29.00	23.09	9.95	9.96	4.37	0.1880	4.62	23.81
EQU	0	12/10/22	08:34:22	26.17	NaN	5396.70	1623.70	254.37	1.66	28.06	1016.40	-0.40	2.58	98.54	29.00	31.52	9.96	9.96	4.03	0.1730	4.44	23.44
EQU	0	12/10/22	08:36:52	26.23	NaN	5389.00	1621.60	261.95	1.71	28.42	1016.40	-0.28	2.64	98.25	29.00	25.77	9.96	9.96	4.02	0.1740	4.75	23.94
EQU	0	12/10/22	08:39:22	26.25	NaN	5355.40	1605.40	268.70	1.76	28.70	1016.40	-0.22	2.65	98.25	29.00	22.87	9.96	9.96	3.69	0.1600	4.75	24.37
EQU	0	12/10/22	08:41:52	26.28	NaN	5328.10	1592.40	273.25	1.80	28.97	1016.50	-0.16	2.63	97.84	29.00	26.91	9.96	9.96	3.36	0.1470	4.50	24.62
EQU	0	12/10/22	08:44:22	26.33	NaN	5301.40	1579.90	276.58	1.82	29.25	1016.50	-0.16	2.57	97.26	29.00	20.83	9.96	9.96	3.08	0.1350	4.81	24.87
EQU	0	12/10/22	08:46:52	26.33	NaN	5225.30	1541.10	274.91	1.81	29.31	1016.40	-0.25	2.66	97.90	29.00	27.57	9.96	9.96	3.03	0.1330	4.62	24.62
EQU	0	12/10/22	08:49:23	26.35	NaN	5203.70	1529.50	266.20	1.75	29.25	1016.50	-0.22	2.65	96.91	29.00	17.10	9.96	9.96	3.93	0.1690	4.50	24.19
EQU	0	12/10/22	08:51:53	26.34	NaN	5145.30	1499.30	256.37	1.68	29.16	1016.50	-0.25	2.64	97.55	29.00	21.88	9.96	9.96	4.93	0.2110	4.94	23.87
EQU-DRAIN	0	12/10/22	08:54:23	26.38	NaN	4999.20	1425.20	247.12	1.61	28.93	1016.70	-0.34	2.63	97.78	29.00	24.99	9.96	9.96	6.09	0.2590	4.87	23.50
EQU	0	12/10/22	08:57:14	26.44	NaN	4875.50	1367.20	249.20	1.63	29.30	1016.70	-0.14	2.66	97.20	29.00	2.72	9.96	9.96	4.50	0.1940	4.62	24.62
EQU	0	12/10/22	08:59:44	26.41	NaN	4877.20	1369.00	263.16	1.73	29.45	1016.60	-0.69	1.01	96.62	29.00	22.45	9.96	9.96	3.56	0.1550	4.94	24.87
EQU	0	12/10/22	09:02:14	26.42	NaN	4905.00	1383.30	271.45	1.79	29.68	1016.60	-0.16	2.69	97.96	29.00	31.82	9.96	9.96	3.69	0.1600	4.56	25.00
EQU	0	12/10/22	09:04:44	26.33	NaN	4892.50	1378.30	275.50	1.82	29.92	1016.70	-0.13	2.39	97.84	29.00	22.56	9.96	9.96	3.44	0.1490	4.69	25.25
EQU	0	12/10/22	09:07:15	26.41	NaN	4850.00	1358.40	273.25	1.80	30.05	1016.80	-0.13	2.53	97.78	29.00	20.58	9.96	9.96	3.30	0.1440	4.81	25.00
EQU	0	12/10/22	09:09:45	26.42	NaN	4788.00	1328.90	268.70	1.77	30.06	1016.90	-0.23	2.63	96.91	29.00	20.97	9.96	9.96	4.13	0.1770	4.50	24.56
EQU	0	12/10/22	09:12:15	26.46	NaN	4717.40	1294.90	258.54	1.70	29.94	1017.10	-0.22	2.70	98.42	29.00	24.72	9.96	9.96	5.22	0.2220	4.81	24.19
EQU	0	12/10/22	09:14:45	26.52	NaN	4639.50	1259.20	254.66	1.67	29.94	1017.10	-0.15	2.70	97.66	29.00	41.38	9.96	9.96	5.12	0.2190	4.69	24.31
EQU	0	12/10/22	09:17:15	26.49	NaN	4577.10	1230.30	253.16	1.66	29.85	1017.30	-0.20	2.71	97.37	29.00	30.64	9.96	9.96	5.07	0.2160	4.44	24.31
EQU	0	12/10/22	09:19:45	26.42	NaN	4552.90	1220.60	258.41	1.70	30.03	1017.10	-0.36	1.41	97.14	29.00	23.15	9.96	9.96	5.25	0.2240	5.06	24.62
EQU	0	12/10/22	09:22:16	26.33	NaN	4546.60	1218.60	262.79	1.73	30.19	1017.00	-0.16	2.02	97.43	29.00	22.06	9.96	9.96	5.37	0.2280	4.56	25.12
EQU-DRAIN	0	12/10/22	09:24:46	26.47	NaN	4488.70	1193.80	265.20	1.75	30.39	1017.00	-0.14	2.45	100.61	29.00	6.40	9.96	9.96	5.34	0.2270	4.50	25.37
