Type	error	PC Date	PC Time	equ temp	std val	CO2 mv	CO2 um/m	H2O mv	H2O mm/m	licor temp	licor press	equ press	H2O flow	licor flow	equ pump	vent flow	atm cond	equ cond	drip 1	drip 2	cond temp	dry box temp
STD1	0	11/10/22	16:53:36	26.89	0.00	-40.47	0.62	12.67	0.08	28.24	1017.90	0.15	2.44	69.63	29.00	-32.61	9.95	9.96	2.36	0.1030	4.94	23.06
STD2	0	11/10/22	16:58:23	26.77	608.37	3186.10	682.31	15.54	0.09	28.09	1017.90	0.01	1.92	78.10	29.00	-8.22	9.95	9.96	2.57	0.1120	4.69	22.81
STD3	0	11/10/22	17:03:11	26.69	1491.50	5272.80	1535.10	14.17	0.08	28.18	1017.90	0.19	1.59	81.12	29.00	-2.85	9.95	9.96	1.73	0.0780	5.00	23.37
STD4	0	11/10/22	17:07:58	26.79	1976.50	6066.00	1975.40	15.37	0.09	28.83	1017.80	0.25	1.94	80.24	29.00	-17.99	9.96	9.96	1.93	0.0860	4.94	24.75
ATM	0	11/10/22	17:12:25	26.68	NaN	2102.60	383.20	452.58	3.15	28.73	1018.10	-0.66	2.94	111.46	29.00	11.04	9.96	9.96	2.68	0.1190	4.94	23.87
ATM	0	11/10/22	17:13:52	26.66	NaN	2089.70	380.07	444.79	3.09	28.72	1018.10	0.11	2.85	111.65	29.00	18.20	9.96	9.96	2.62	0.1140	4.81	23.62
ATM	0	11/10/22	17:15:19	26.69	NaN	2096.50	381.64	436.50	3.02	28.62	1017.90	0.03	1.19	111.39	29.00	59.06	9.96	9.96	2.59	0.1130	4.56	23.56
ATM	0	11/10/22	17:16:46	26.81	NaN	2080.10	377.78	430.62	2.98	28.65	1017.90	0.46	2.92	111.65	29.00	40.72	9.96	9.96	3.08	0.1320	4.37	23.37
ATM	0	11/10/22	17:18:13	26.63	NaN	2116.10	386.24	425.37	2.93	28.56	1017.90	-0.14	1.95	111.27	29.00	60.27	9.96	9.96	3.12	0.1360	4.37	23.12
EQU-DRAIN	0	11/10/22	17:23:16	26.75	NaN	6100.80	1996.70	223.70	1.44	28.74	1018.00	0.11	2.79	99.31	29.00	-10.60	9.96	9.96	3.10	0.1340	4.75	23.62
EQU	0	11/10/22	17:26:08	26.61	NaN	6114.20	2007.70	228.45	1.48	29.12	1017.90	0.26	2.22	98.89	29.00	-7.37	9.96	9.96	2.75	0.1190	5.00	24.62
EQU	0	11/10/22	17:28:38	26.75	NaN	6147.60	2030.40	233.20	1.51	29.43	1017.80	0.10	2.04	98.60	29.00	9.95	9.96	9.96	2.70	0.1180	4.62	25.19
EQU	0	11/10/22	17:31:08	26.69	NaN	6136.50	2023.10	228.95	1.48	29.35	1017.80	0.19	2.39	97.55	29.00	14.61	9.96	9.96	2.33	0.1030	4.44	24.75
EQU	0	11/10/22	17:33:38	26.65	NaN	6154.70	2033.80	221.83	1.43	29.32	1017.80	0.15	2.57	97.02	29.00	12.35	9.96	9.96	2.29	0.1010	4.94	24.25
EQU	0	11/10/22	17:36:08	26.63	NaN	6117.20	2010.80	219.20	1.42	29.27	1017.80	0.04	2.60	97.55	29.00	6.32	9.96	9.96	2.18	0.0980	4.62	24.06
EQU	0	11/10/22	17:38:38	26.66	NaN	6139.80	2025.30	215.20	1.39	29.37	1017.70	0.04	2.42	97.61	29.00	19.60	9.96	9.96	2.09	0.0940	4.37	23.62
EQU	0	11/10/22	17:41:09	26.60	NaN	6138.40	2023.30	214.12	1.38	29.21	1017.70	0.16	2.76	96.68	29.00	17.94	9.96	9.96	2.21	0.0970	4.75	23.69
EQU	0	11/10/22	17:43:39	26.69	NaN	6094.10	1997.90	216.33	1.40	29.41	1017.70	0.29	3.05	96.68	29.00	-0.63	9.96	9.96	2.11	0.0930	4.69	24.31
EQU	0	11/10/22	17:46:09	26.62	NaN	6117.20	2013.80	222.83	1.44	29.71	1017.80	0.33	2.92	96.33	29.00	-0.18	9.96	9.96	2.08	0.0920	4.44	25.06
EQU	0	11/10/22	17:48:39	26.69	NaN	6148.90	2034.80	229.54	1.49	30.02	1017.90	0.37	2.96	97.02	29.00	6.53	9.96	9.96	2.00	0.0890	5.06	25.62
EQU-DRAIN	0	11/10/22	17:51:09	26.73	NaN	6090.30	1998.50	227.20	1.47	30.01	1018.00	0.20	2.91	97.31	29.00	8.82	9.96	9.96	2.04	0.0910	4.75	25.06
EQU	0	11/10/22	17:54:01	26.67	NaN	6104.00	2006.10	220.54	1.43	29.87	1017.90	-0.34	3.16	90.94	29.00	30.51	9.96	9.96	2.28	0.1030	4.94	24.50
EQU	0	11/10/22	17:56:31	26.62	NaN	6125.50	2017.10	215.16	1.39	29.63	1018.10	-0.21	3.24	96.85	29.00	51.35	9.96	9.96	2.51	0.1110	4.56	24.06
EQU	0	11/10/22	17:59:01	26.66	NaN	6104.00	2005.10	218.58	1.41	29.80	1018.10	0.45	3.25	95.01	29.00	50.02	9.96	9.96	2.28	0.1010	4.50	24.19
EQU	0	11/10/22	18:01:31	26.68	NaN	6065.60	1982.20	220.50	1.43	29.84	1018.10	0.31	3.25	96.21	29.00	33.52	9.96	9.96	2.12	0.0940	4.87	24.31
EQU	0	11/10/22	18:04:01	26.59	NaN	6059.10	1979.90	228.62	1.48	30.06	1018.10	0.07	3.25	98.54	29.00	10.69	9.96	9.96	1.95	0.0900	4.69	25.00
EQU	0	11/10/22	18:06:31	26.55	NaN	6043.70	1972.00	232.54	1.51	30.27	1018.20	0.13	3.19	98.72	29.00	88.76	9.96	9.96	1.93	0.0860	4.44	25.44
EQU	0	11/10/22	18:09:01	26.49	NaN	6030.30	1965.80	235.50	1.53	30.48	1018.00	0.27	3.23	98.07	29.00	81.82	9.96	9.96	2.01	0.0900	4.81	25.69
