Type	error	PC Date	PC Time	equ temp	std val	CO2 mv	CO2 um/m	H2O mv	H2O mm/m	licor temp	licor press	equ press	H2O flow	licor flow	equ pump	vent flow	atm cond	equ cond	drip 1	drip 2	cond temp	dry box temp
STD1z	0	11/10/22	12:17:03	25.92	0.00	-45.00	-0.41	9.96	0.06	27.25	1020.50	-1.02	2.59	70.91	29.00	-10.81	9.95	9.96	9.92	0.4160	4.44	22.00
STD4s	0	11/10/22	12:21:54	26.01	0.00	6094.10	2030.80	12.25	0.07	27.89	1020.50	-1.02	2.63	76.19	29.00	-12.01	9.95	9.96	9.84	0.4140	4.69	23.62
STD1	0	11/10/22	12:26:40	25.97	0.00	-42.53	0.34	10.17	0.06	28.27	1020.60	-0.10	2.56	70.72	29.00	-6.37	9.96	9.96	9.80	0.4120	4.50	24.25
STD2	0	11/10/22	12:31:28	25.95	608.37	3204.30	685.02	12.71	0.08	27.89	1020.50	-1.27	2.55	79.52	29.00	-12.44	9.96	9.96	9.90	0.4160	4.31	23.06
STD3	0	11/10/22	12:36:16	25.61	1491.50	5323.30	1550.10	12.12	0.07	27.43	1020.40	-1.43	2.57	81.95	29.00	-5.40	9.95	9.96	9.92	0.4160	4.31	22.44
STD4	0	11/10/22	12:41:03	26.06	1976.50	6100.70	1981.60	12.00	0.07	28.07	1020.50	-0.17	2.56	79.58	29.00	-6.39	9.95	9.96	9.86	0.4140	5.06	24.00
ATM-DRAIN	0	11/10/22	12:45:31	25.71	NaN	2145.50	392.32	454.87	3.16	28.70	1020.30	0.07	2.54	112.80	29.00	-11.59	9.96	9.96	9.81	0.4110	4.69	24.81
ATM	0	11/10/22	12:47:20	25.79	NaN	2124.30	387.12	451.00	3.13	28.62	1020.30	0.07	2.55	111.01	29.00	-10.60	9.96	9.96	9.81	0.4110	4.44	24.69
ATM	0	11/10/22	12:48:47	25.83	NaN	2143.10	391.24	440.54	3.05	28.37	1020.40	-0.04	2.55	110.69	29.00	-11.47	9.96	9.96	9.86	0.4120	4.37	24.31
ATM	0	11/10/22	12:50:13	25.83	NaN	2142.20	390.99	428.58	2.95	28.34	1020.30	-0.26	2.53	110.69	29.00	-3.96	9.96	9.96	9.89	0.4140	4.50	23.75
ATM	0	11/10/22	12:51:40	25.95	NaN	2143.80	390.96	418.12	2.87	28.01	1020.20	-0.49	2.54	110.63	29.00	-4.47	9.96	9.96	9.90	0.4140	4.62	23.31
EQU	0	11/10/22	12:56:43	26.05	NaN	5227.20	1505.90	298.66	1.97	27.77	1020.20	-1.20	2.51	100.25	29.00	9.96	9.95	9.96	9.92	0.4160	4.81	22.56
EQU	0	11/10/22	12:59:14	26.02	NaN	5220.10	1503.70	286.83	1.88	28.06	1020.20	-0.10	2.51	98.89	29.00	18.59	9.95	9.96	9.87	0.4140	4.50	23.44
EQU	0	11/10/22	13:01:44	25.93	NaN	5274.20	1533.10	285.45	1.88	28.46	1020.10	0.02	2.87	98.66	29.00	15.73	9.96	9.96	9.85	0.4110	4.37	24.37
EQU	0	11/10/22	13:04:14	25.75	NaN	5259.00	1527.50	283.66	1.87	28.83	1020.00	0.10	2.87	97.84	29.00	12.00	9.96	9.96	9.84	0.4110	4.87	24.87
EQU	0	11/10/22	13:06:44	25.62	NaN	5343.90	1570.80	273.12	1.79	28.86	1020.00	0.07	2.87	98.19	29.00	8.27	9.96	9.96	9.84	0.4110	4.62	24.69
EQU	0	11/10/22	13:09:14	25.63	NaN	5358.00	1577.30	260.75	1.70	28.73	1020.00	-0.02	2.92	97.20	29.00	10.31	9.96	9.96	9.88	0.4140	4.50	24.06
EQU	0	11/10/22	13:11:44	25.58	NaN	5413.30	1605.00	247.70	1.61	28.57	1020.00	-0.09	2.96	97.08	29.00	8.13	9.96	9.96	9.90	0.4140	4.69	23.50
EQU-DRAIN	0	11/10/22	13:14:14	25.54	NaN	5433.00	1614.40	238.25	1.54	28.38	1019.90	-0.13	3.01	97.43	29.00	9.73	9.96	9.96	9.91	0.4140	4.69	23.06
EQU	0	11/10/22	13:17:06	25.56	NaN	5410.20	1601.40	231.45	1.49	28.20	1019.90	-0.30	2.88	97.84	29.00	12.34	9.96	9.96	9.92	0.4150	4.94	22.87
EQU	0	11/10/22	13:19:36	25.67	NaN	5500.90	1648.30	224.08	1.44	28.06	1019.80	-0.36	3.06	97.26	29.00	10.58	9.96	9.96	9.92	0.4140	4.37	22.56
EQU	0	11/10/22	13:22:06	25.75	NaN	5702.20	1756.70	223.58	1.44	28.02	1019.80	-0.29	3.11	97.43	29.00	3.45	9.95	9.96	9.90	0.4140	4.69	22.62
EQU	0	11/10/22	13:24:36	25.79	NaN	5751.80	1786.30	231.54	1.49	28.34	1019.80	-0.08	3.11	97.55	29.00	0.68	9.96	9.96	9.85	0.4110	4.44	23.37
EQU	0	11/10/22	13:27:06	25.77	NaN	5781.40	1801.60	230.66	1.49	28.14	1019.80	-0.13	3.12	97.08	29.00	7.39	9.96	9.96	9.86	0.4130	4.44	23.19
